jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;3;31;15;12;38;15;16;29;15;19;59;3;21;39;10;5;21
2;3;32;15;12;38;15;16;29;15;19;59;3;21;38;10;5;22
3;3;32;15;12;39;15;16;29;15;19;59;3;21;38;10;5;22
4;3;33;15;12;39;15;16;29;15;19;59;3;21;38;10;5;23
5;3;34;15;12;39;15;16;29;15;19;58;3;21;37;10;5;23
6;3;35;15;12;39;15;16;29;15;19;58;3;21;38;10;5;23
7;3;35;15;12;39;15;16;29;15;19;58;3;21;37;10;5;23
8;3;36;15;12;39;15;16;31;15;19;58;3;21;37;10;5;24
9;3;37;15;12;40;15;16;31;15;19;57;3;21;36;10;5;24
10;3;38;15;12;40;15;16;31;15;19;57;3;21;36;10;5;25
11;3;39;15;12;40;15;16;31;15;19;57;3;21;35;10;5;26
12;3;40;15;12;40;15;16;31;15;19;56;3;21;34;10;5;26
13;3;41;15;12;40;15;16;31;15;19;56;3;21;33;10;5;27
14;3;42;15;12;40;15;16;31;15;19;55;3;21;33;10;5;28
15;3;43;15;12;40;15;16;31;15;19;55;3;21;32;10;5;28
16;3;44;15;12;40;15;16;31;15;19;54;3;21;31;10;5;29
17;3;45;15;12;40;15;16;31;15;19;54;3;21;30;10;5;30
18;3;46;15;12;41;15;16;31;15;19;53;3;21;29;10;5;30
19;3;47;15;12;41;15;16;31;15;19;53;3;21;28;10;5;31
20;3;48;15;12;41;15;16;31;15;19;52;3;21;27;10;5;32
21;3;49;15;12;41;15;16;31;15;19;51;3;21;26;10;5;33
22;3;51;15;12;41;15;16;31;15;19;51;3;21;25;10;5;33
23;3;52;15;12;41;15;16;31;15;19;50;3;21;24;10;5;34
24;3;53;15;12;41;15;16;31;15;19;49;3;21;23;10;5;35
25;3;54;15;12;41;15;16;30;15;19;48;3;21;22;10;5;36
26;3;55;15;12;41;15;16;30;15;19;48;3;21;21;10;5;36
27;3;56;15;12;41;15;16;30;15;19;47;3;21;20;10;5;37
28;3;58;15;12;41;15;16;30;15;19;46;3;21;19;10;5;38
29;3;59;15;12;41;15;16;30;15;19;45;3;21;17;10;5;39
30;4;0;15;12;41;15;16;30;15;19;44;3;21;16;10;5;40
31;4;1;15;12;41;15;16;29;15;19;43;3;21;15;10;5;40
